,0_deg,60_deg,90_deg,180_deg,240_deg,labels
33,0.475033236527747,0.2887089856388951,0.24530512177201297,0.2768750259051702,0.22165859755840647,R
34,0.9812270715511573,0.8756618651312621,0.7686529462122184,0.5544212583276084,0.6471745010002883,M
35,0.48914393454622324,0.4566235411212064,0.6216376824398724,0.6334521040814316,0.44861787502864475,M
36,0.10831580724332038,0.4322770508373407,0.15881489291684037,0.5627044209563808,0.23085761669459914,R
37,0.5765494352737444,0.42613090709784374,0.4738606292437268,0.7435514695812335,0.5080943109580105,M
38,0.440528922319994,0.06485542496373241,0.1694151904864387,0.06510057338018134,0.5525364070634002,R
39,0.02735521043082091,0.2890643264602916,0.06295279931093341,0.11601043583385583,0.11190257175639788,R
40,0.6645851600522963,0.5660627295448388,0.7891271285852594,0.8900711233295007,0.8676390898129032,M
41,0.08094779756446348,0.4782200879810589,0.38194396479906173,0.5511487482771237,0.4604822275420657,R
42,0.1876041727655452,0.07462118292744473,0.14398507639740554,0.36692052170452466,0.1379466164773933,R
43,0.9424776398192702,0.7435190515097849,0.9253132904368497,0.957629144814107,0.8538924285137456,M
44,0.4868306515256451,0.1723796628920627,0.13758012148877097,0.07748673110231247,0.26355301669333525,R
45,0.7305912469566135,0.48223488469670567,0.9371883141442385,0.589861366304787,0.5569439487368715,M
46,0.548904112562571,0.6001391909572873,0.6566824857055936,0.6814985104298479,0.7824703779556779,M
47,0.027872918208642912,0.11314041267885551,0.20652511026904427,0.007960760047209092,0.4964004875913273,R
48,0.4687458009766044,0.26755115609438873,0.5310728946226934,0.39595916612561505,0.3963462291158705,R
49,0.35977397896282104,0.5617076299013276,0.2009945392559387,0.18111319109968,0.10730931202575839,R
50,0.7270652294501001,0.49450714021612374,0.8722356895597674,0.8306245947100146,0.9091710116574803,M
51,0.49707101198245107,0.8947117747748146,0.5243004789216619,0.7099830830680115,0.422693809515085,M
52,0.019236777100539504,0.5323369014866841,0.4796720238929068,0.05612603717995088,0.5386083124060641,R
53,0.08502799055981462,0.38962939692510773,0.33453974397921066,0.2619494783836499,0.04027496159849697,R
54,0.6765557094666668,0.4365144753208029,0.9634776039517214,0.7468461620616706,0.5915795191875914,M
55,0.09878921499142564,0.11146193832141989,0.3916313941804238,0.012495460219930182,0.07761705355214042,R
56,0.4974617634984466,0.2893903820030598,0.18311340477147578,0.5565493559186272,0.4987246217648197,R

